Latin America,North America,Europe,ST attacked in routine environment (predictable events),ST threatened,open critic against attackers ,attack during working hours ,attack during day,unknown wherabouts of victim,attackers sighted during attack,responsibility claimed of attack by a group,how was victim attacked,was detailed intelligence required,killed in transit,did assassin break in,did victim have bodyguards,previous attempts on ST life,were there collateral casualties,fixated individual,lone actor,public attributes it to specific org,public attributes it to gov,year
1,0,0,0,0,0,1,1,0,1,0,shot,1,0,0,0,0,0,0,0,0,1,1994
1,0,0,0,1,1,0,1,0,1,0,shot,1,0,1,0,0,0,0,0,0,0,2010
1,0,0,1,0,0,1,1,0,1,0,shot,0,0,0,1,0,1,0,0,1,0,2016
1,0,0,1,0,1,1,0,0,1,0,shot,1,1,0,0,0,1,0,0,1,1,2018
1,0,0,1,0,0,1,1,0,1,0,shot,1,1,0,0,0,1,0,0,1,0,2007
0,0,1,1,0,0,0,1,0,1,0,shot,1,1,0,0,0,1,0,0,1,0,1991
0,0,1,1,1,0,0,0,0,1,0,stabbed,0,0,1,1,0,0,1,1,0,0,2019
0,0,1,1,0,1,1,1,0,0,0,shot,1,1,0,0,0,1,0,0,1,0,2009
1,0,0,0,0,1,1,1,1,1,1,shot,1,0,0,1,0,0,0,0,1,0,1970
0,1,0,1,0,1,0,0,0,0,0,shot,1,0,0,0,0,0,1,1,1,0,1963
0,1,0,1,1,1,0,1,0,1,1,shot,1,0,1,0,0,0,0,0,1,1,1969
0,1,0,1,1,0,0,0,1,0,0,shot,1,0,0,0,1,0,0,0,1,0,1989
1,0,0,0,0,0,0,0,1,1,0,shot,1,1,0,1,0,0,0,0,0,0,2002
1,0,0,0,0,0,1,1,1,,0,shot,1,1,1,1,0,0,0,1,1,0,1989
1,0,0,1,0,1,1,1,1,1,1,shot,0,0,0,1,0,1,0,0,1,0,2002
1,0,0,1,1,1,1,1,1,1,1,shot,1,0,0,1,1,0,0,0,1,1,1976
1,0,0,1,0,1,0,1,1,1,0,shot,1,1,0,1,0,1,0,0,1,0,1988
0,0,1,1,0,1,1,1,0,1,0,shot,0,1,0,1,0,1,0,0,1,0,1977
0,0,1,1,0,0,1,1,0,1,1,explosive,1,1,0,1,0,1,0,0,1,0,1989
0,0,1,1,0,0,1,1,1,0,1,shot,0,1,0,1,0,1,0,0,1,0,1977
0,1,0,1,0,1,1,1,1,1,1,strangled,0,0,0,1,0,0,0,0,1,0,1970
0,0,1,1,0,0,1,1,0,1,0,shot,0,1,0,0,0,0,0,0,1,0,2000
0,1,0,1,0,0,1,1,0,1,0,shot,0,0,0,0,0,0,0,0,0,0,1964
0,0,1,0,0,1,0,0,0,1,0,shot,0,0,0,0,0,0,0,1,0,0,1986
0,0,1,1,0,1,1,1,0,0,1,shot,1,1,0,0,0,1,0,0,1,0,1975
0,0,1,1,0,1,1,1,0,1,1,shot,0,0,0,0,0,0,0,0,1,0,1989
0,1,0,1,0,1,1,1,0,0,1,explosive,1,1,0,0,0,1,0,0,0,1,1976
1,0,0,1,0,0,0,1,0,1,0,shot,1,0,1,1,0,1,0,0,0,0,2006
